Nat,Pokemon,HP,Atk,Def,SA,SD,Spd,Total,Type I,Type II,Gender,Evolves From,lvl_up,Evolves Into
1,Bulbasaur,45,49,49,65,65,45,318,Grass,Poison,M (87.5%),--,Lv. 16,Ivysaur
2,Ivysaur,60,62,63,80,80,60,405,Grass,Poison,M (87.5%),Bulbasaur,Lv. 32,Venusaur
3,Venusaur,80,82,83,100,100,80,525,Grass,Poison,M (87.5%),Ivysaur,--,--
4,Charmander,39,52,43,60,50,65,309,Fire,,M (87.5%),--,Lv. 16,Charmeleon
5,Charmeleon,58,64,58,80,65,80,405,Fire,,M (87.5%),Charmander,Lv. 36,Charizard
6,Charizard,78,84,78,109,85,100,534,Fire,Flying,M (87.5%),Charmeleon,--,--
7,Squirtle,44,48,65,60,54,43,314,Water,,M (87.5%),--,Lv. 16,Wartortle
8,Wartortle,59,63,80,65,80,58,405,Water,,M (87.5%),Squirtle,Lv. 36,Blastoise
9,Blastoise,79,83,100,85,105,78,530,Water,,M (87.5%),Wartortle,--,--
10,Caterpie,45,30,35,20,20,45,195,Bug,,50/50,--,Lv. 7,Metapod
11,Metapod,50,20,55,25,25,30,205,Bug,,50/50,Caterpie,Lv. 10,Butterfree
12,Butterfree,60,45,50,80,80,70,385,Bug,Flying,50/50,Metapod,--,--
13,Weedle,40,35,30,20,20,50,195,Bug,Poison,50/50,--,Lv. 7,Kakuna
14,Kakuna,45,25,50,25,25,35,205,Bug,Poison,50/50,Weedle,Lv. 10,Beedrill
15,Beedrill,65,80,40,40,80,75,380,Bug,Poison,50/50,Kakuna,--,--
16,Pidgey,40,45,40,35,35,56,251,Normal,Flying,50/50,--,Lv. 18,Pidgeotto
17,Pidgeotto,63,60,55,50,50,71,349,Normal,Flying,50/50,Pidgey,Lv. 36,Pidgeot
18,Pidgeot,83,80,75,70,70,91,469,Normal,Flying,50/50,Pidgeotto,--,--
19,Rattata,30,56,35,25,35,72,253,Normal,,50/50,--,Lv. 20,Ratticate
20,Raticate,55,81,60,50,70,97,413,Normal,,50/50,Rattata,--,--
21,Spearow,40,60,30,31,31,70,262,Normal,Flying,50/50,--,Lv. 20,Fearow
22,Fearow,65,90,65,61,61,100,442,Normal,Flying,50/50,Spearow,--,--
23,Ekans,30,60,44,40,54,55,283,Poison,,50/50,--,Lv. 22,Arbok
24,Arbok,60,85,69,65,79,80,438,Poison,,50/50,Ekans,--,--
25,Pikachu,35,55,30,50,40,90,300,Electric,,50/50,Pichu,Thunderstone,Raichu
26,Raichu,60,90,55,90,80,100,475,Electric,,50/50,Pikachu,--,--
27,Sandshrew,50,75,85,20,30,40,300,Ground,,50/50,--,Lv. 22,Sandslash
